DBN,MS,Borough,CSD,total_students,testers_count,perc_tested,total_offers,perc_tested_offered,fof_testers,fof_offers,G_T,HS_Program,Citywide
26Q216,J.H.S. 216 GEORGE J. RYAN (26Q216),Queens,D26,529,259,0.49,64,0.25,0,0,No,No,No
26Q266,P.S./I.S. 266 (26Q266),Queens,D26,75,33,0.44,3,,0,1,No,No,No
27Q042,P.S./M.S 042 R. VERNAM (27Q042),Queens,D27,58,11,0.19,3,,0,1,No,No,No
27Q043,P.S. 043 (27Q043),Queens,D27,63,3,,3,,1,1,No,No,No
27Q047,P.S. 047 CHRIS GALAS (27Q047),Queens,D27,29,3,,3,,1,1,No,No,No
27Q053,M.S. 053 BRIAN PICCOLO (27Q053),Queens,D27,60,9,0.15,3,,0,1,No,No,No
27Q105,P.S. 105 THE BAY SCHOOL (27Q105),Queens,D27,91,3,,3,,1,1,No,No,No
27Q114,P.S./M.S. 114 BELLE HARBOR (27Q114),Queens,D27,30,7,0.23,3,,0,1,No,No,No
27Q124,P.S. 124 OSMOND A CHURCH (27Q124),Queens,D27,136,42,0.31,3,,0,1,No,No,No
27Q137,M.S. 137 AMERICA'S SCHOOL OF HEROES (27Q137),Queens,D27,620,164,0.26,3,,0,1,No,No,No
27Q146,P.S. 146 HOWARD BEACH (27Q146),Queens,D27,60,8,0.13,3,,0,1,No,No,No
27Q183,P.S. 183 DR. RICHARD R. GREEN (27Q183),Queens,D27,52,22,0.42,3,,0,1,No,No,No
27Q202,J.H.S. 202 ROBERT H. GODDARD (27Q202),Queens,D27,368,95,0.26,8,0.08,0,0,No,No,No
27Q207,P.S. 207 ROCKWOOD PARK (27Q207),Queens,D27,64,3,,3,,1,1,No,No,No
27Q210,J.H.S. 210 ELIZABETH BLACKWELL (27Q210),Queens,D27,610,132,0.22,13,0.10,0,0,No,No,No
27Q226,J.H.S. 226 VIRGIL I. GRISSOM (27Q226),Queens,D27,268,64,0.24,3,,0,1,No,No,No
27Q232,P.S. 232 LINDENWOOD (27Q232),Queens,D27,118,25,0.21,3,,0,1,No,No,No
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH (27Q262),Queens,D27,145,24,0.17,3,,0,1,No,No,No
27Q282,KNOWLEDGE AND POWER PREPARATORY ACADEMY VI (27Q282),Queens,D27,88,47,0.53,3,,0,1,No,No,No
27Q297,HAWTREE CREEK MIDDLE SCHOOL (27Q297),Queens,D27,126,26,0.21,3,,0,1,No,No,No
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL (27Q309),Queens,D27,70,3,,3,,1,1,No,No,No
27Q318,WATERSIDE SCHOOL FOR LEADERSHIP (27Q318),Queens,D27,72,14,0.19,3,,0,1,No,No,No
27Q319,VILLAGE ACADEMY (27Q319),Queens,D27,139,52,0.37,3,,0,1,No,No,No
27Q323,SCHOLARS' ACADEMY (27Q323),Queens,D27,192,80,0.42,31,0.39,0,0,No,Yes,Yes
27Q333,GOLDIE MAPLE ACADEMY (27Q333),Queens,D27,26,3,,3,,1,1,No,No,No
28Q008,J.H.S. 008 RICHARD S. GROSSLEY (28Q008),Queens,D28,120,14,0.12,3,,0,1,No,No,No
28Q072,CATHERINE & COUNT BASIE MIDDLE SCHOOL 72 (28Q072),Queens,D28,103,32,0.31,3,,0,1,No,No,No
28Q157,J.H.S. 157 STEPHEN A. HALSEY (28Q157),Queens,D28,544,205,0.38,60,0.29,0,0,No,No,No
28Q167,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL (28Q167),Queens,D28,123,25,0.20,3,,0,1,No,No,No
28Q190,J.H.S. 190 RUSSELL SAGE (28Q190),Queens,D28,370,143,0.39,44,0.31,0,0,No,No,No
28Q217,J.H.S. 217 ROBERT A. VAN WYCK (28Q217),Queens,D28,549,157,0.29,10,0.06,0,0,No,No,No
28Q284,YORK EARLY COLLEGE ACADEMY (28Q284),Queens,D28,87,18,0.21,3,,0,1,No,No,No
28Q287,THE EMERSON SCHOOL (28Q287),Queens,D28,116,25,0.22,3,,0,1,No,No,No
28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL (28Q310),Queens,D28,88,15,0.17,3,,0,1,No,No,No
28Q332,REDWOOD MIDDLE SCHOOL (28Q332),Queens,D28,100,25,0.25,3,,0,1,No,No,No
28Q358,M.S. 358 (28Q358),Queens,D28,125,42,0.34,3,,0,1,No,No,No
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL (28Q680),Queens,D28,79,59,0.75,27,0.46,0,0,No,No,No
28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS (28Q896)",Queens,D28,87,38,0.44,7,0.18,0,0,No,No,No
29Q059,I.S. 059 SPRINGFIELD GARDENS (29Q059),Queens,D29,170,29,0.17,3,,0,1,No,No,No
29Q109,JEAN NUZZI INTERMEDIATE SCHOOL (29Q109),Queens,D29,395,86,0.22,3,,0,1,No,No,No
29Q116,P.S./I.S. 116 WILLIAM C. HUGHLEY (29Q116),Queens,D29,73,10,0.14,3,,0,1,No,No,No
29Q138,P.S./M.S. 138 SUNRISE (29Q138),Queens,D29,95,17,0.18,3,,0,1,No,No,No
29Q147,P.S./M.S. 147 RONALD MCNAIR (29Q147),Queens,D29,87,7,0.08,3,,0,1,No,No,No
29Q192,I.S. 192 THE LINDEN (29Q192),Queens,D29,130,17,0.13,3,,0,1,No,No,No
29Q208,P.S./I.S. 208 (29Q208),Queens,D29,89,33,0.37,3,,0,1,No,No,No
29Q238,I.S. 238 - SUSAN B. ANTHONY ACADEMY (29Q238),Queens,D29,383,81,0.21,3,,0,1,No,No,No
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL (29Q259),Queens,D29,88,6,0.07,3,,0,1,No,No,No
29Q268,P.S./I.S. 268 (29Q268),Queens,D29,71,18,0.25,3,,0,1,No,No,No
29Q270,THE GORDON PARKS SCHOOL (29Q270),Queens,D29,119,21,0.18,3,,0,1,No,No,No
29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL (29Q283),Queens,D29,67,9,0.13,3,,0,1,No,No,No
29Q289,QUEENS UNITED MIDDLE SCHOOL (29Q289),Queens,D29,54,13,0.24,3,,0,1,No,No,No
29Q295,P.S./I.S. 295 (29Q295),Queens,D29,60,15,0.25,3,,0,1,No,No,No
29Q327,EAGLE ACADEMY FOR YOUNG MEN III (29Q327),Queens,D29,59,6,0.10,3,,0,1,No,No,No
29Q355,COLLABORATIVE ARTS MIDDLE SCHOOL (29Q355),Queens,D29,116,13,0.11,3,,0,1,No,No,No
29Q356,COMMUNITY VOICES MIDDLE SCHOOL (29Q356),Queens,D29,98,18,0.18,3,,0,1,No,No,No
30Q010,I.S. 010 HORACE GREELEY (30Q010),Queens,D30,273,57,0.21,3,,0,1,No,No,No
30Q078,P.S./I.S. 78Q (30Q078),Queens,D30,46,22,0.48,3,,0,1,No,No,No
30Q111,P.S. 111 JACOB BLACKWELL (30Q111),Queens,D30,32,3,,3,,1,1,No,No,No
30Q122,P.S. 122 MAMIE FAY (30Q122),Queens,D30,95,90,0.95,60,0.67,0,0,No,No,No
30Q126,ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS (30Q126),Queens,D30,206,72,0.35,25,0.35,0,0,No,No,No
30Q127,P.S. 127 AEROSPACE SCIENCE MAGNET SCHOOL (30Q127),Queens,D30,159,27,0.17,3,,0,1,No,No,No
30Q141,I.S. 141 THE STEINWAY (30Q141),Queens,D30,397,164,0.41,18,0.11,0,0,No,No,No
30Q145,I.S. 145 JOSEPH PULITZER (30Q145),Queens,D30,585,159,0.27,7,0.04,0,0,No,No,No
30Q204,I.S. 204 OLIVER W. HOLMES (30Q204),Queens,D30,121,21,0.17,3,,0,1,No,No,No
30Q227,I.S. 227 LOUIS ARMSTRONG (30Q227),Queens,D30,449,204,0.45,28,0.14,0,0,No,No,No
