DBN,MS,Borough,CSD,total_students,testers_count,perc_tested,total_offers,perc_tested_offered,fof_testers,fof_offers,G_T,HS_Program,Citywide
84K742,EXPLORE EMPOWER CHARTER SCHOOL (84K742),Brooklyn,Charter,58,13,0.22,3,,0,1,No,No,No
84K744,CONEY ISLAND PREPARATORY PUBLIC CHARTER SCHOOL (84K744),Brooklyn,Charter,24,9,0.38,3,,0,1,No,No,No
84K746,HEBREW LANGUAGE ACADEMY CHARTER SCHOOL (84K746),Brooklyn,Charter,55,11,0.20,3,,0,1,No,No,No
84K756,SUCCESS ACADEMY PROSPECT HEIGHTS (BROOKLYN 6) (84K756),Brooklyn,Charter,48,32,0.67,3,,0,1,No,No,No
84K757,UNITY PREP CHARTER SCHOOL (84K757),Brooklyn,Charter,47,14,0.30,3,,0,1,No,No,No
84K758,BROOKLYN URBAN GARDEN CHARTER SCHOOL (84K758),Brooklyn,Charter,85,23,0.27,3,,0,1,No,No,No
84K759,CANARSIE ASCEND CHARTER SCHOOL (84K759),Brooklyn,Charter,106,28,0.26,3,,0,1,No,No,No
84K769,HYDE LEADERSHIP CHARTER SCHOOL- BROOKLYN (84K769),Brooklyn,Charter,43,8,0.19,3,,0,1,No,No,No
84K774,ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL (84K774),Brooklyn,Charter,71,49,0.69,3,,0,1,No,No,No
84K775,LEADERSHIP PREPARATORY OCEAN HILL CHARTER SCHOOL (84K775),Brooklyn,Charter,50,20,0.40,3,,0,1,No,No,No
84K777,OCEAN HILL COLLEGIATE CHARTER SCHOOL (84K777),Brooklyn,Charter,50,15,0.30,3,,0,1,No,No,No
84K780,BROOKLYN EAST COLLEGIATE CHARTER SCHOOL (84K780),Brooklyn,Charter,38,12,0.32,3,,0,1,No,No,No
84K782,BEDFORD STUYVESANT NEW BEGINNINGS CHARTER SCHOOL (84K782),Brooklyn,Charter,80,6,0.08,3,,0,1,No,No,No
84K791,BROOKLYN DREAMS CHARTER SCHOOL (84K791),Brooklyn,Charter,63,25,0.40,3,,0,1,No,No,No
84K793,BUSHWICK ASCEND CHARTER SCHOOL (84K793),Brooklyn,Charter,65,12,0.18,3,,0,1,No,No,No
84K803,BROOKLYN LABÃÂ CHARTER SCHOOL (84K803),Brooklyn,Charter,30,8,0.27,3,,0,1,No,No,No
84K807,COLLEGIATE ACADEMY FOR MATH AND PERSONAL AWARENESSÃÂ CHARTER SCHOOL (84K807),Brooklyn,Charter,33,3,,3,,1,1,No,No,No
84K876,ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL (84K876),Brooklyn,Charter,20,3,,3,,1,1,No,No,No
84K879,BROOKLYN PROSPECT CHARTER SCHOOL DOWNTOWN (84K879),Brooklyn,Charter,84,45,0.54,14,0.31,0,0,No,No,No
84K911,EDMUND W. GORDON BROOKLYN LABORATORY CHARTER SCHOOL (84K911),Brooklyn,Charter,28,13,0.46,3,,0,1,No,No,No
84M065,DEMOCRACY PREP ENDURANCE CHARTER SCHOOL (84M065),Manhattan,Charter,36,10,0.28,3,,0,1,No,No,No
84M068,KIPP WASHINGTON HEIGHTS MIDDLE SCHOOL (84M068),Manhattan,Charter,28,17,0.61,3,,0,1,No,No,No
84M100,NEIGHBORHOOD CHARTER SCHOOL OF HARLEM (84M100),Manhattan,Charter,53,25,0.47,3,,0,1,No,No,No
84M168,EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL II (84M168),Manhattan,Charter,41,12,0.29,3,,0,1,No,No,No
84M174,SUCCESS ACADEMY UNION SQUARE (MANHATTAN 1) (84M174),Manhattan,Charter,65,53,0.82,17,0.32,0,0,No,No,No
84M186,HARLEM HEBREW LANGUAGE CHARTER SCHOOL (84M186),Manhattan,Charter,28,12,0.43,3,,0,1,No,No,No
84M202,GREAT OAKS CHARTER SCHOOL (84M202),Manhattan,Charter,49,13,0.27,3,,0,1,No,No,No
84M204,CAPITAL PREPARATORY (CP) HARLEM CHARTER SCHOOL (84M204),Manhattan,Charter,10,3,,3,,1,1,No,No,No
84M263,NEW YORK CITY CHARTER SCHOOL OF THE ARTS (84M263),Manhattan,Charter,88,23,0.26,3,,0,1,No,No,No
84M279,THE OPPORTUNITY CHARTER SCHOOL (84M279),Manhattan,Charter,10,3,,3,,1,1,No,No,No
84M284,HARLEM CHILDREN'S ZONE PROMISE ACADEMY 1 CHARTER SCHOOL (84M284),Manhattan,Charter,12,8,0.67,3,,0,1,No,No,No
84M295,SCHOOL IN THE SQUARE PUBLIC CHARTER SCHOOL (84M295),Manhattan,Charter,95,16,0.17,3,,0,1,No,No,No
84M330,GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK (84M330),Manhattan,Charter,72,18,0.25,3,,0,1,No,No,No
84M335,HARLEM VILLAGE ACADEMY EAST CHARTER SCHOOL (84M335),Manhattan,Charter,20,7,0.35,3,,0,1,No,No,No
84M336,KIPP INFINITY CHARTER SCHOOL (84M336),Manhattan,Charter,26,21,0.81,3,,0,1,No,No,No
84M341,HARLEM CHILDREN'S ZONE PROMISE ACADEMY II CHARTER SCHOOL (84M341),Manhattan,Charter,16,9,0.56,3,,0,1,No,No,No
84M350,DEMOCRACY PREP CHARTER SCHOOL (84M350),Manhattan,Charter,33,15,0.45,3,,0,1,No,No,No
84M351,SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 1 (84M351),Manhattan,Charter,47,15,0.32,3,,0,1,No,No,No
84M353,NEW HEIGHTS ACADEMY CHARTER SCHOOL (84M353),Manhattan,Charter,9,3,,3,,1,1,No,No,No
84M382,DREAM CHARTER SCHOOL (84M382),Manhattan,Charter,33,11,0.33,3,,0,1,No,No,No
84M384,SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 2 (84M384),Manhattan,Charter,21,15,0.71,3,,0,1,No,No,No
84M385,SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 3 (84M385),Manhattan,Charter,49,22,0.45,3,,0,1,No,No,No
84M388,ST. HOPE LEADERSHIP ACADEMY CHARTER SCHOOL (84M388),Manhattan,Charter,79,14,0.18,3,,0,1,No,No,No
84M430,THE EQUITY PROJECT CHARTER SCHOOL (TEP) (84M430),Manhattan,Charter,123,35,0.28,3,,0,1,No,No,No
84M478,INWOOD ACADEMY FOR LEADERSHIP CHARTER SCHOOL (84M478),Manhattan,Charter,26,17,0.65,3,,0,1,No,No,No
84M481,DEMOCRACY PREP HARLEM CHARTER SCHOOL (84M481),Manhattan,Charter,24,7,0.29,3,,0,1,No,No,No
84M482,SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 5 (84M482),Manhattan,Charter,64,37,0.58,3,,0,1,No,No,No
84M483,NEW YORK FRENCH AMERICAN CHARTER SCHOOL (84M483),Manhattan,Charter,12,3,,3,,1,1,No,No,No
84M518,EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL (84M518),Manhattan,Charter,34,3,,3,,1,1,No,No,No
84M523,SUCCESS ACADEMY CHARTER SCHOOL - UPPER WEST (84M523),Manhattan,Charter,71,34,0.48,8,0.24,0,0,No,No,No
84M704,HARBOR SCIENCE AND ARTS CHARTER SCHOOL (84M704),Manhattan,Charter,33,3,,3,,1,1,No,No,No
84M708,HARLEM PREP CHARTER SCHOOL (84M708),Manhattan,Charter,28,3,,3,,1,1,No,No,No
84M709,HARLEM VILLAGE ACADEMY WEST CHARTER SCHOOL,Manhattan,Charter,26,16,0.62,3,,0,1,No,No,No
84M726,KIPP STAR COLLEGE PREP CHARTER SCHOOL (84M726),Manhattan,Charter,15,3,,3,,1,1,No,No,No
84M861,FUTURE LEADERS INSTITUTE CHARTER SCHOOL (84M861),Manhattan,Charter,47,11,0.23,3,,0,1,No,No,No
84Q083,CENTRAL QUEENS ACADEMY CHARTER SCHOOL (84Q083),Queens,Charter,92,29,0.32,9,0.31,0,0,No,No,No
84Q298,MIDDLE VILLAGE PREP CHARTER SCHOOL (84Q298),Queens,Charter,112,49,0.44,3,,0,1,No,No,No
84Q304,VOICE CHARTER SCHOOL OF NEW YORK (84Q304),Queens,Charter,89,30,0.34,3,,0,1,No,No,No
84Q321,GROWING UP GREEN CHARTER SCHOOL (84Q321),Queens,Charter,89,24,0.27,3,,0,1,No,No,No
84Q340,CHALLENGE PREPARATORY CHARTER SCHOOL (84Q340),Queens,Charter,30,10,0.33,3,,0,1,No,No,No
84Q341,RIVERTON STREET CHARTER SCHOOL (84Q341),Queens,Charter,92,34,0.37,3,,0,1,No,No,No
84Q380,FORTE PREPARATORY ACADEMY CHARTER SCHOOL (84Q380),Queens,Charter,83,51,0.61,3,,0,1,No,No,No
84Q705,RENAISSANCE CHARTER SCHOOL (84Q705),Queens,Charter,20,11,0.55,3,,0,1,No,No,No
84Q706,OUR WORLD NEIGHBORHOOD CHARTER SCHOOL (84Q706),Queens,Charter,76,30,0.39,3,,0,1,No,No,No
84R067,JOHN W. LAVELLE PREPARATORY CHARTER SCHOOL (84R067),Staten Island,Charter,26,3,,3,,1,1,No,No,No
84R073,NEW WORLD PREPARATORY CHARTER SCHOOL (84R073),Staten Island,Charter,120,10,0.08,3,,0,1,No,No,No
84X124,CHILDREN'S AID COLLEGE PREP CHARTER SCHOOL (84X124),Bronx,Charter,65,14,0.22,3,,0,1,No,No,No
84X133,ICAHN CHARTER SCHOOL 6 (84X133),Bronx,Charter,33,11,0.33,3,,0,1,No,No,No
84X165,GRAND CONCOURSE CHARTER SCHOOL (84X165),Bronx,Charter,49,19,0.39,3,,0,1,No,No,No
84X177,MOTT HALL CHARTER SCHOOL (84X177),Bronx,Charter,102,11,0.11,3,,0,1,No,No,No
84X185,BRONX LIGHTHOUSE CHARTER SCHOOL (84X185),Bronx,Charter,10,3,,3,,1,1,No,No,No
84X233,FAMILY LIFE ACADEMY CHARTER SCHOOL II (84X233),Bronx,Charter,109,37,0.34,3,,0,1,No,No,No
84X255,BRONX CHARTER SCHOOL FOR EXCELLENCE (84X255),Bronx,Charter,85,53,0.62,9,0.17,0,0,No,No,No
84X309,SOUTH BRONX CHARTER SCHOOL FOR INTERNATIONAL CULTURES AND THE ARTS (84X309),Bronx,Charter,43,6,0.14,3,,0,1,No,No,No
84X345,HYDE LEADERSHIP CHARTER SCHOOL (84X345),Bronx,Charter,26,9,0.35,3,,0,1,No,No,No
84X346,SOUTH BRONX CLASSICAL CHARTER SCHOOL (84X346),Bronx,Charter,28,23,0.82,3,,0,1,No,No,No
84X362,ICAHN CHARTER SCHOOL 7 (84X362),Bronx,Charter,29,13,0.45,3,,0,1,No,No,No
84X364,SOUTH BRONX CLASSICAL CHARTER SCHOOL II (84X364),Bronx,Charter,12,11,0.92,3,,0,1,No,No,No
84X378,ICAHN CHARTER SCHOOL 2 (84X378),Bronx,Charter,31,22,0.71,3,,0,1,No,No,No
84X380,SUCCESS ACADEMY CHARTER SCHOOL - BRONX 3 (84X380),Bronx,Charter,57,43,0.75,9,0.21,0,0,No,No,No
84X387,BRILLA COLLEGE PREP CHARTER SCHOOL (84X387),Bronx,Charter,66,22,0.33,3,,0,1,No,No,No
84X389,BRONX GLOBAL LEARNING INSTITUTE FOR GIRLS CHARTER SCHOOL (84X389),Bronx,Charter,40,8,0.20,3,,0,1,No,No,No
84X394,MOTT HAVEN ACADEMY CHARTER SCHOOL (84X394),Bronx,Charter,50,9,0.18,3,,0,1,No,No,No
84X398,BRONX COMMUNITY CHARTER SCHOOL (84X398),Bronx,Charter,54,8,0.15,3,,0,1,No,No,No
84X419,BRONX ACADEMY OF PROMISE CHARTER SCHOOL (84X419),Bronx,Charter,57,26,0.46,3,,0,1,No,No,No
84X422,ICAHN CHARTER SCHOOL 3 (84X422),Bronx,Charter,28,13,0.46,3,,0,1,No,No,No
84X460,ATMOSPHERE CHARTER SCHOOL (84X460),Bronx,Charter,139,55,0.40,3,,0,1,No,No,No
84X461,METROPOLITAN LIGHTHOUSE CHARTER SCHOOL (84X461),Bronx,Charter,28,12,0.43,3,,0,1,No,No,No
84X471,AMERICAN DREAM CHARTER SCHOOL (84X471),Bronx,Charter,18,9,0.50,3,,0,1,No,No,No
84X482,DR. RICHARD IZQUIERDO HEALTH AND SCIENCE CHARTER SCHOOL (84X482),Bronx,Charter,20,3,,3,,1,1,No,No,No
84X487,GIRLS PREPARATORY CHARTER SCHOOL OF THE BRONX (84X487),Bronx,Charter,79,18,0.23,3,,0,1,No,No,No
84X488,THE EQUALITY CHARTER SCHOOL (84X488),Bronx,Charter,18,9,0.50,3,,0,1,No,No,No
84X491,ACADEMIC LEADERSHIP CHARTER SCHOOL (84X491),Bronx,Charter,50,14,0.28,3,,0,1,No,No,No
84X492,SOUTH BRONX EARLY COLLEGE ACADEMY CHARTER SCHOOL (84X492),Bronx,Charter,109,16,0.15,3,,0,1,No,No,No
84X494,SUCCESS ACADEMY CHARTER SCHOOL - BRONX 2 (84X494),Bronx,Charter,41,27,0.66,3,,0,1,No,No,No
84X496,ICAHN CHARTER SCHOOL 4 (84X496),Bronx,Charter,33,16,0.48,3,,0,1,No,No,No
84X538,ICAHN CHARTER SCHOOL 5 (84X538),Bronx,Charter,28,15,0.54,3,,0,1,No,No,No
84X585,LEGACY COLLEGE PREPARATORY (84X585),Bronx,Charter,41,21,0.51,3,,0,1,No,No,No
84X703,BRONX PREPARATORY CHARTER SCHOOL (84X703),Bronx,Charter,19,8,0.42,3,,0,1,No,No,No
84X704,KIPP ACADEMY CHARTER SCHOOL (84X704),Bronx,Charter,15,6,0.40,3,,0,1,No,No,No
84X706,HARRIET TUBMAN CHARTER SCHOOL (84X706),Bronx,Charter,64,15,0.23,3,,0,1,No,No,No
84X717,ICAHN CHARTER SCHOOL (84X717),Bronx,Charter,29,7,0.24,3,,0,1,No,No,No
84X730,BRONX CHARTER SCHOOL FOR THE ARTS (84X730),Bronx,Charter,100,13,0.13,3,,0,1,No,No,No
