DBN,Dist,loc_code,MS,Borough,CSD,total_students,testers_count,perc_tested,total_offers,perc_tested_offered,fof_testers,fof_offers,G_T,HS_Program,Citywide
84K782,84,K782,BEDFORD STUYVESANT NEW BEGINNINGS CHARTER SCHOOL (84K782),Brooklyn,Charter,80,6,7.5,0-5,NA,0,1,No,No,No
84K791,84,K791,BROOKLYN DREAMS CHARTER SCHOOL (84K791),Brooklyn,Charter,63,25,39.7,0-5,NA,0,1,No,No,No
84K793,84,K793,BUSHWICK ASCEND CHARTER SCHOOL (84K793),Brooklyn,Charter,65,12,18.5,0-5,NA,0,1,No,No,No
84K803,84,K803,BROOKLYN LABÃÂ CHARTER SCHOOL (84K803),Brooklyn,Charter,30,8,26.7,0-5,NA,0,1,No,No,No
84K807,84,K807,COLLEGIATE ACADEMY FOR MATH AND PERSONAL AWARENESSÃÂ CHARTER SCHOOL (84K807),Brooklyn,Charter,33,0-5,NA,0-5,NA,1,1,No,No,No
84K876,84,K876,ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL (84K876),Brooklyn,Charter,20,0-5,NA,0-5,NA,1,1,No,No,No
84K879,84,K879,BROOKLYN PROSPECT CHARTER SCHOOL DOWNTOWN (84K879),Brooklyn,Charter,84,45,53.6,14,31.1,0,0,No,No,No
84K911,84,K911,EDMUND W. GORDON BROOKLYN LABORATORY CHARTER SCHOOL (84K911),Brooklyn,Charter,28,13,46.4,0-5,NA,0,1,No,No,No
84M065,84,M065,DEMOCRACY PREP ENDURANCE CHARTER SCHOOL (84M065),Manhattan,Charter,36,10,27.8,0-5,NA,0,1,No,No,No
84M068,84,M068,KIPP WASHINGTON HEIGHTS MIDDLE SCHOOL (84M068),Manhattan,Charter,28,17,60.7,0-5,NA,0,1,No,No,No
84M100,84,M100,NEIGHBORHOOD CHARTER SCHOOL OF HARLEM (84M100),Manhattan,Charter,53,25,47.2,0-5,NA,0,1,No,No,No
84M168,84,M168,EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL II (84M168),Manhattan,Charter,41,12,29.3,0-5,NA,0,1,No,No,No
84M174,84,M174,SUCCESS ACADEMY UNION SQUARE (MANHATTAN 1) (84M174),Manhattan,Charter,65,53,81.5,17,32.1,0,0,No,No,No
84M186,84,M186,HARLEM HEBREW LANGUAGE CHARTER SCHOOL (84M186),Manhattan,Charter,28,12,42.9,0-5,NA,0,1,No,No,No
84M202,84,M202,GREAT OAKS CHARTER SCHOOL (84M202),Manhattan,Charter,49,13,26.5,0-5,NA,0,1,No,No,No
84M204,84,M204,CAPITAL PREPARATORY (CP) HARLEM CHARTER SCHOOL (84M204),Manhattan,Charter,10,0-5,NA,0-5,NA,1,1,No,No,No
84M263,84,M263,NEW YORK CITY CHARTER SCHOOL OF THE ARTS (84M263),Manhattan,Charter,88,23,26.1,0-5,NA,0,1,No,No,No
84M279,84,M279,THE OPPORTUNITY CHARTER SCHOOL (84M279),Manhattan,Charter,10,0-5,NA,0-5,NA,1,1,No,No,No
84M284,84,M284,HARLEM CHILDREN'S ZONE PROMISE ACADEMY 1 CHARTER SCHOOL (84M284),Manhattan,Charter,12,8,66.7,0-5,NA,0,1,No,No,No
84M295,84,M295,SCHOOL IN THE SQUARE PUBLIC CHARTER SCHOOL (84M295),Manhattan,Charter,95,16,16.8,0-5,NA,0,1,No,No,No
84M330,84,M330,GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK (84M330),Manhattan,Charter,72,18,25,0-5,NA,0,1,No,No,No
84M335,84,M335,HARLEM VILLAGE ACADEMY EAST CHARTER SCHOOL (84M335),Manhattan,Charter,20,7,35,0-5,NA,0,1,No,No,No
84M336,84,M336,KIPP INFINITY CHARTER SCHOOL (84M336),Manhattan,Charter,26,21,80.8,0-5,NA,0,1,No,No,No
84M341,84,M341,HARLEM CHILDREN'S ZONE PROMISE ACADEMY II CHARTER SCHOOL (84M341),Manhattan,Charter,16,9,56.2,0-5,NA,0,1,No,No,No
84M350,84,M350,DEMOCRACY PREP CHARTER SCHOOL (84M350),Manhattan,Charter,33,15,45.5,0-5,NA,0,1,No,No,No
