DBN,Dist,loc_code,MS,Borough,CSD,total_students,testers_count,perc_tested,total_offers,perc_tested_offered,fof_testers,fof_offers,G_T,HS_Program,Citywide
02M225,2,M225,ELLA BAKER SCHOOL (02M225),Manhattan,D2,28,0-5,NA,0-5,NA,1,1,No,No,Yes
02M255,2,M255,M.S. 255 SALK SCHOOL OF SCIENCE (02M255),Manhattan,D2,125,104,83.2,72,69.2,0,0,No,No,No
02M260,2,M260,THE CLINTON SCHOOL (02M260),Manhattan,D2,94,46,48.9,22,47.8,0,0,No,Yes,No
02M276,2,M276,BATTERY PARK CITY SCHOOL (02M276),Manhattan,D2,85,52,61.2,18,34.6,0,0,No,No,No
02M289,2,M289,I.S. 289 (02M289),Manhattan,D2,89,45,50.6,6,13.3,0,0,No,No,No
02M297,2,M297,M.S. 297 (02M297),Manhattan,D2,297,99,33.3,28,28.3,0,0,No,No,No
02M312,2,M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES (02M312),Manhattan,D2,179,169,94.4,117,69.2,0,0,No,No,No
02M347,2,M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL (02M347),Manhattan,D2,15,6,40,0-5,NA,0,1,No,No,Yes
02M397,2,M397,SPRUCE STREET SCHOOL (02M397),Manhattan,D2,54,30,55.6,9,30,0,0,No,No,No
02M407,2,M407,INSTITUTE FOR COLLABORATIVE EDUCATION (02M407),Manhattan,D2,71,17,23.9,0-5,NA,0,1,No,Yes,Yes
02M408,2,M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL (02M408),Manhattan,D2,31,0-5,NA,0-5,NA,1,1,No,Yes,Yes
02M413,2,M413,SCHOOL OF THE FUTURE HIGH SCHOOL (02M413),Manhattan,D2,93,32,34.4,0-5,NA,0,1,No,Yes,Yes
02M422,2,M422,QUEST TO LEARN (02M422),Manhattan,D2,46,7,15.2,0-5,NA,0,1,No,Yes,Yes
02M442,2,M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE (02M442)",Manhattan,D2,25,17,68,0-5,NA,0,1,No,No,Yes
02M896,2,M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL (02M896),Manhattan,D2,123,59,48,7,11.9,0,0,No,No,No
02M933,2,M933,CITY KNOLL MIDDLE SCHOOL (02M933),Manhattan,D2,41,0-5,NA,0-5,NA,1,1,No,No,No
03M054,3,M054,J.H.S. 054 BOOKER T. WASHINGTON (03M054),Manhattan,D3,262,219,83.6,126,57.5,0,0,No,No,No
03M076,3,M076,P.S. 076 A. PHILIP RANDOLPH (03M076),Manhattan,D3,42,10,23.8,0-5,NA,0,1,No,No,No
03M149,3,M149,P.S. 149 SOJOURNER TRUTH (03M149),Manhattan,D3,29,0-5,NA,0-5,NA,1,1,No,No,No
03M180,3,M180,P.S. 180 HUGO NEWMAN (03M180),Manhattan,D3,49,10,20.4,0-5,NA,0,1,No,No,No
03M191,3,M191,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS (03M191),Manhattan,D3,68,10,14.7,0-5,NA,0,1,No,No,No
03M243,3,M243,M.S. 243 CENTER SCHOOL (03M243),Manhattan,D3,59,32,54.2,14,43.8,0,0,No,No,No
03M245,3,M245,M.S. M245 THE COMPUTER SCHOOL (03M245),Manhattan,D3,123,62,50.4,14,22.6,0,0,No,No,No
03M247,3,M247,M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL (03M247),Manhattan,D3,74,20,27,0-5,NA,0,1,No,No,No
03M250,3,M250,M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL (03M250),Manhattan,D3,49,8,16.3,0-5,NA,0,1,No,No,No
03M256,3,M256,LAFAYETTE ACADEMY (03M256),Manhattan,D3,49,14,28.6,0-5,NA,0,1,No,No,No
03M258,3,M258,COMMUNITY ACTION SCHOOL - MS 258 (03M258),Manhattan,D3,83,9,10.8,0-5,NA,0,1,No,No,No
03M291,3,M291,WEST END SECONDARY SCHOOL (03M291),Manhattan,D3,105,29,27.6,12,41.4,0,0,No,No,No
03M333,3,M333,P.S. 333 MANHATTAN SCHOOL FOR CHILDREN (03M333),Manhattan,D3,58,21,36.2,0-5,NA,0,1,No,No,No
03M334,3,M334,THE ANDERSON SCHOOL (03M334),Manhattan,D3,60,55,91.7,45,81.8,0,0,Yes,No,Yes
03M415,3,M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS (03M415),Manhattan,D3,25,0-5,NA,0-5,NA,1,1,No,No,No
03M421,3,M421,WEST PREP ACADEMY (03M421),Manhattan,D3,64,16,25,0-5,NA,0,1,No,No,No
03M859,3,M859,SPECIAL MUSIC SCHOOL (03M859),Manhattan,D3,12,7,58.3,0-5,NA,0,1,No,Yes,Yes
03M860,3,M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL (03M860),Manhattan,D3,23,0-5,NA,0-5,NA,1,1,No,No,No
03M862,3,M862,MOTT HALL II (03M862),Manhattan,D3,146,89,61,7,7.9,0,0,No,No,No
04M007,4,M007,P.S. 007 SAMUEL STERN (04M007),Manhattan,D4,54,9,16.7,0-5,NA,0,1,No,No,No
04M012,4,M012,TAG YOUNG SCHOLARS (04M012),Manhattan,D4,57,53,93,26,49.1,0,0,Yes,No,Yes
04M057,4,M057,JAMES WELDON JOHNSON (04M057),Manhattan,D4,82,0-5,NA,0-5,NA,1,1,No,No,No
04M072,4,M072,THE LEXINGTON ACADEMY (04M072),Manhattan,D4,66,7,10.6,0-5,NA,0,1,No,No,No
04M096,4,M096,P.S. 096 JOSEPH LANZETTA (04M096),Manhattan,D4,53,0-5,NA,0-5,NA,1,1,No,No,No
04M108,4,M108,P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX (04M108),Manhattan,D4,62,10,16.1,0-5,NA,0,1,No,No,No
04M171,4,M171,P.S. 171 PATRICK HENRY (04M171),Manhattan,D4,82,29,35.4,0-5,NA,0,1,No,No,No
04M206,4,M206,P.S. 206 JOSE CELSO BARBOSA (04M206),Manhattan,D4,71,13,18.3,0-5,NA,0,1,No,No,No
04M224,4,M224,M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS (04M224),Manhattan,D4,61,20,32.8,0-5,NA,0,1,No,No,Yes
04M372,4,M372,ESPERANZA PREPARATORY ACADEMY (04M372),Manhattan,D4,71,0-5,NA,0-5,NA,1,1,No,No,No
04M377,4,M377,RENAISSANCE SCHOOL OF THE ARTS (04M377),Manhattan,D4,76,23,30.3,0-5,NA,0,1,No,No,No
04M610,4,M610,YOUNG WOMEN'S LEADERSHIP SCHOOL (04M610),Manhattan,D4,49,0-5,NA,0-5,NA,1,1,No,No,No
04M825,4,M825,ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE (04M825),Manhattan,D4,97,21,21.6,0-5,NA,0,1,No,No,No
04M964,4,M964,CENTRAL PARK EAST II (04M964),Manhattan,D4,54,0-5,NA,0-5,NA,1,1,No,No,No
05M046,5,M046,P.S. 046 ARTHUR TAPPAN (05M046),Manhattan,D5,67,0-5,NA,0-5,NA,1,1,No,No,No
05M123,5,M123,P.S. 123 MAHALIA JACKSON (05M123),Manhattan,D5,46,11,23.9,0-5,NA,0,1,No,No,No
05M129,5,M129,P.S. 129 JOHN H. FINLEY (05M129),Manhattan,D5,44,0-5,NA,0-5,NA,1,1,No,No,No
05M148,5,M148,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM (05M148),Manhattan,D5,34,6,17.6,0-5,NA,0,1,No,No,No
05M161,5,M161,P.S. 161 PEDRO ALBIZU CAMPOS (05M161),Manhattan,D5,110,12,10.9,0-5,NA,0,1,No,No,No
05M286,5,M286,URBAN ASSEMBLY ACADEMY FOR FUTURE LEADERS (05M286),Manhattan,D5,29,0-5,NA,0-5,NA,1,1,No,No,No
05M362,5,M362,COLUMBIA SECONDARY SCHOOL (05M362),Manhattan,D5,99,20,20.2,15,75,0,0,No,No,No
05M499,5,M499,FREDERICK DOUGLASS ACADEMY (05M499),Manhattan,D5,88,0-5,NA,0-5,NA,1,1,No,No,No
05M514,5,M514,NEW DESIGN MIDDLE SCHOOL (05M514),Manhattan,D5,50,10,20,0-5,NA,0,1,No,No,No
05M517,5,M517,TEACHERS COLLEGE COMMUNITY SCHOOL (05M517),Manhattan,D5,51,19,37.3,0-5,NA,0,1,No,No,No
05M670,5,M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE (05M670),Manhattan,D5,56,7,12.5,0-5,NA,0,1,No,No,No
06M018,6,M018,P.S. 018 PARK TERRACE (06M018),Manhattan,D6,53,12,22.6,0-5,NA,0,1,No,No,No
06M052,6,M052,HAROLD O. LEVY SCHOOL (06M052),Manhattan,D6,99,9,9.1,0-5,NA,0,1,No,No,No
06M143,6,M143,J.H.S. 143 ELEANOR ROOSEVELT (06M143),Manhattan,D6,90,14,15.6,0-5,NA,0,1,No,No,No
06M187,6,M187,P.S./I.S. 187 HUDSON CLIFFS (06M187),Manhattan,D6,89,32,36,6,18.8,0,0,No,No,No
06M209,6,M209,HAMILTON GRANGE MIDDLE SCHOOL (06M209),Manhattan,D6,112,25,22.3,0-5,NA,0,1,No,No,No
06M210,6,M210,P.S./I.S. 210 - TWENTY-FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP (06M210),Manhattan,D6,59,10,16.9,0-5,NA,0,1,No,No,No
06M223,6,M223,THE MOTT HALL SCHOOL (06M223),Manhattan,D6,92,77,83.7,0-5,NA,0,1,No,No,No
06M278,6,M278,PAULA HEDBAVNY SCHOOL (06M278),Manhattan,D6,65,20,30.8,0-5,NA,0,1,No,No,No
06M293,6,M293,CITY COLLEGE ACADEMY OF THE ARTS (06M293),Manhattan,D6,87,9,10.3,0-5,NA,0,1,No,No,No
06M311,6,M311,AMISTAD DUAL LANGUAGE SCHOOL (06M311),Manhattan,D6,45,14,31.1,0-5,NA,0,1,No,No,No
06M319,6,M319,M.S. 319 - MARIA TERESA (06M319),Manhattan,D6,108,0-5,NA,0-5,NA,1,1,No,No,No
06M322,6,M322,MIDDLE SCHOOL 322 (06M322),Manhattan,D6,104,8,7.7,0-5,NA,0,1,No,No,No
06M324,6,M324,M.S. 324 - PATRIA MIRABAL (06M324),Manhattan,D6,89,15,16.9,0-5,NA,0,1,No,No,No
06M328,6,M328,COMMUNITY MATH & SCIENCE PREP (06M328),Manhattan,D6,56,6,10.7,0-5,NA,0,1,No,No,No
06M346,6,M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS (06M346),Manhattan,D6,94,0-5,NA,0-5,NA,1,1,No,No,No
06M348,6,M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL (06M348),Manhattan,D6,85,6,7.1,0-5,NA,0,1,No,No,No
06M349,6,M349,HARBOR HEIGHTS (06M349),Manhattan,D6,44,0-5,NA,0-5,NA,1,1,No,No,No
06M366,6,M366,WASHINGTON HEIGHTS ACADEMY (06M366),Manhattan,D6,55,16,29.1,0-5,NA,0,1,No,No,No
06M528,6,M528,I.S. 528 BEA FULLER RODGERS SCHOOL (06M528),Manhattan,D6,80,7,8.8,0-5,NA,0,1,No,No,No
07X005,7,X005,P.S. 5 PORT MORRIS (07X005),Bronx,D7,81,0-5,NA,0-5,NA,1,1,No,No,No
07X029,7,X029,P.S./M.S. 029 MELROSE SCHOOL (07X029),Bronx,D7,89,0-5,NA,0-5,NA,1,1,No,No,No
07X031,7,X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON (07X031),Bronx,D7,84,12,14.3,0-5,NA,0,1,No,No,No
07X151,7,X151,J.H.S. 151 LOU GEHRIG (07X151),Bronx,D7,61,0-5,NA,0-5,NA,1,1,No,No,No
07X221,7,X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL (07X221),Bronx,D7,87,0-5,NA,0-5,NA,1,1,No,No,No
07X223,7,X223,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X223 (07X223),Bronx,D7,110,0-5,NA,0-5,NA,1,1,No,No,No
07X224,7,X224,P.S./I.S. 224 (07X224),Bronx,D7,85,0-5,NA,0-5,NA,1,1,No,No,No
07X296,7,X296,SOUTH BRONX ACADEMY FOR APPLIED MEDIA (07X296),Bronx,D7,69,11,15.9,0-5,NA,0,1,No,No,No
07X298,7,X298,ACADEMY OF PUBLIC RELATIONS (07X298),Bronx,D7,79,27,34.2,0-5,NA,0,1,No,No,No
07X343,7,X343,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY (07X343),Bronx,D7,101,23,22.8,0-5,NA,0,1,No,No,No
07X500,7,X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE (07X500),Bronx,D7,49,9,18.4,0-5,NA,0,1,No,No,No
07X551,7,X551,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS (07X551),Bronx,D7,66,0-5,NA,0-5,NA,1,1,No,No,No
07X584,7,X584,I.S. 584 (07X584),Bronx,D7,80,6,7.5,0-5,NA,0,1,No,No,No
08X071,8,X071,P.S. 071 ROSE E. SCALA (08X071),Bronx,D8,173,59,34.1,0-5,NA,0,1,No,No,No
08X101,8,X101,M.S. X101 EDWARD R. BYRNE (08X101),Bronx,D8,160,86,53.8,17,19.8,0,0,No,No,No
08X123,8,X123,J.H.S. 123 JAMES M. KIERAN (08X123),Bronx,D8,137,20,14.6,0-5,NA,0,1,No,No,No
08X131,8,X131,J.H.S. 131 ALBERT EINSTEIN (08X131),Bronx,D8,160,18,11.2,0-5,NA,0,1,No,No,No
08X269,8,X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS (08X269),Bronx,D8,87,0-5,NA,0-5,NA,1,1,No,No,No
08X301,8,X301,M.S. 301 PAUL L. DUNBAR (08X301),Bronx,D8,59,23,39,0-5,NA,0,1,No,No,No
08X302,8,X302,M.S. 302 LUISA DESSUS CRUZ (08X302),Bronx,D8,147,17,11.6,0-5,NA,0,1,No,No,No
08X337,8,X337,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE (08X337),Bronx,D8,153,43,28.1,0-5,NA,0,1,No,No,No
08X367,8,X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS (08X367)",Bronx,D8,77,14,18.2,0-5,NA,0,1,No,No,No
08X371,8,X371,URBAN INSTITUTE OF MATHEMATICS (08X371),Bronx,D8,127,40,31.5,0-5,NA,0,1,No,No,No
08X375,8,X375,THE BRONX MATHEMATICS PREPARATORY SCHOOL (08X375),Bronx,D8,79,14,17.7,0-5,NA,0,1,No,No,No
08X376,8,X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL (08X376),Bronx,D8,58,19,32.8,0-5,NA,0,1,No,No,No
08X424,8,X424,THE HUNTS POINT SCHOOL (08X424),Bronx,D8,84,12,14.3,0-5,NA,0,1,No,No,No
08X448,8,X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP (08X448),Bronx,D8,130,19,14.6,0-5,NA,0,1,No,No,No
08X467,8,X467,MOTT HALL COMMUNITY SCHOOL (08X467),Bronx,D8,121,19,15.7,0-5,NA,0,1,No,No,No
08X562,8,X562,BLUEPRINT MIDDLE SCHOOL (08X562),Bronx,D8,190,46,24.2,0-5,NA,0,1,No,No,No
09X004,9,X004,P.S./M.S. 004 CROTONA PARK WEST (09X004),Bronx,D9,42,0-5,NA,0-5,NA,1,1,No,No,No
09X022,9,X022,J.H.S. 022 JORDAN L. MOTT (09X022),Bronx,D9,126,21,16.7,0-5,NA,0,1,No,No,No
09X117,9,X117,I.S. 117 JOSEPH H. WADE (09X117),Bronx,D9,118,0-5,NA,0-5,NA,1,1,No,No,No
09X128,9,X128,MOTT HALL III (09X128),Bronx,D9,107,42,39.3,0-5,NA,0,1,No,No,No
09X215,9,X215,KAPPA (09X215),Bronx,D9,101,20,19.8,0-5,NA,0,1,No,No,No
09X218,9,X218,P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL (09X218),Bronx,D9,106,31,29.2,0-5,NA,0,1,No,No,No
09X219,9,X219,I.S. 219 NEW VENTURE SCHOOL (09X219),Bronx,D9,112,0-5,NA,0-5,NA,1,1,No,No,No
09X229,9,X229,I.S. 229 ROLAND PATTERSON (09X229),Bronx,D9,72,6,8.3,0-5,NA,0,1,No,No,No
09X231,9,X231,EAGLE ACADEMY FOR YOUNG MEN (09X231),Bronx,D9,53,8,15.1,0-5,NA,0,1,No,No,No
09X232,9,X232,I.S. 232 (09X232),Bronx,D9,147,8,5.4,0-5,NA,0,1,No,No,No
09X241,9,X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE (09X241)",Bronx,D9,80,7,8.8,0-5,NA,0,1,No,No,No
09X303,9,X303,I.S. X303 LEADERSHIP & COMMUNITY SERVICE (09X303),Bronx,D9,107,9,8.4,0-5,NA,0,1,No,No,No
09X313,9,X313,I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT (09X313),Bronx,D9,82,0-5,NA,0-5,NA,1,1,No,No,No
09X323,9,X323,BRONX WRITING ACADEMY (09X323),Bronx,D9,95,9,9.5,0-5,NA,0,1,No,No,No
09X324,9,X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING (09X324),Bronx,D9,58,0-5,NA,0-5,NA,1,1,No,No,No
09X327,9,X327,COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327 (09X327),Bronx,D9,98,9,9.2,0-5,NA,0,1,No,No,No
09X328,9,X328,NEW MILLENNIUM BRONX ACADEMY OF THE ARTS (09X328),Bronx,D9,108,14,13,0-5,NA,0,1,No,No,No
09X339,9,X339,I.S. 339 (09X339),Bronx,D9,125,25,20,0-5,NA,0,1,No,No,No
09X361,9,X361,THE HIGHBRIDGE GREEN SCHOOL (09X361),Bronx,D9,115,12,10.4,0-5,NA,0,1,No,No,No
09X413,9,X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE (09X413),Bronx,D9,41,0-5,NA,0-5,NA,1,1,No,No,No
09X454,9,X454,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL (09X454),Bronx,D9,137,40,29.2,0-5,NA,0,1,No,No,No
09X505,9,X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE (09X505)",Bronx,D9,91,7,7.7,0-5,NA,0,1,No,No,No
09X568,9,X568,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX (09X568),Bronx,D9,71,7,9.9,0-5,NA,0,1,No,No,No
09X593,9,X593,SOUTH BRONX INTERNATIONAL MIDDLE SCHOOL (09X593),Bronx,D9,63,0-5,NA,0-5,NA,1,1,No,No,No
09X594,9,X594,M.S. 594 (09X594),Bronx,D9,88,8,9.1,0-5,NA,0,1,No,No,No
10X003,10,X003,P.S. 3 RAUL JULIA MICRO SOCIETY (10X003),Bronx,D10,41,7,17.1,0-5,NA,0,1,No,No,No
10X015,10,X015,P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING (10X015),Bronx,D10,63,27,42.9,0-5,NA,0,1,No,No,No
10X020,10,X020,"PS/MS 20 P.O.GEORGE J. WERDANN, III (10X020)",Bronx,D10,114,17,14.9,0-5,NA,0,1,No,No,No
10X037,10,X037,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL (10X037),Bronx,D10,64,6,9.4,0-5,NA,0,1,No,No,No
10X045,10,X045,THOMAS C. GIORDANO MIDDLE SCHOOL 45 (10X045),Bronx,D10,240,33,13.8,0-5,NA,0,1,No,No,No
10X080,10,X080,J.H.S. 080 THE MOSHOLU PARKWAY (10X080),Bronx,D10,216,52,24.1,0-5,NA,0,1,No,No,No
10X095,10,X095,P.S. 095 SHEILA MENCHER (10X095),Bronx,D10,140,33,23.6,0-5,NA,0,1,No,No,No
10X118,10,X118,J.H.S. 118 WILLIAM W. NILES (10X118),Bronx,D10,334,146,43.7,6,4.1,0,0,No,No,No
10X141,10,X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141) (10X141),Bronx,D10,265,86,32.5,20,23.3,0,0,No,No,No
10X206,10,X206,I.S. 206 ANN MERSEREAU (10X206),Bronx,D10,96,10,10.4,0-5,NA,0,1,No,No,No
10X225,10,X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL (10X225),Bronx,D10,52,0-5,NA,0-5,NA,1,1,No,No,No
10X228,10,X228,JONAS BRONCK ACADEMY (10X228),Bronx,D10,88,49,55.7,0-5,NA,0,1,No,No,No
10X243,10,X243,WEST BRONX ACADEMY FOR THE FUTURE (10X243),Bronx,D10,91,0-5,NA,0-5,NA,1,1,No,No,No
10X244,10,X244,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM (10X244),Bronx,D10,252,75,29.8,0-5,NA,0,1,No,No,No
10X254,10,X254,I.S. 254 (10X254),Bronx,D10,157,17,10.8,0-5,NA,0,1,No,No,No
10X264,10,X264,BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE) (10X264),Bronx,D10,3,0-5,NA,0-5,NA,1,1,No,No,No
10X279,10,X279,"P.S. 279 CAPTAIN MANUEL RIVERA, JR. (10X279)",Bronx,D10,116,21,18.1,0-5,NA,0,1,No,No,No
10X280,10,X280,P.S./M.S. 280 MOSHOLU PARKWAY (10X280),Bronx,D10,93,23,24.7,0-5,NA,0,1,No,No,No
10X308,10,X308,BRONX DANCE ACADEMY SCHOOL (10X308),Bronx,D10,80,16,20,0-5,NA,0,1,No,No,No
10X315,10,X315,P.S. 315 LAB SCHOOL (10X315),Bronx,D10,29,21,72.4,0-5,NA,0,1,No,No,No
10X331,10,X331,THE BRONX SCHOOL OF YOUNG LEADERS (10X331),Bronx,D10,143,18,12.6,0-5,NA,0,1,No,No,No
10X342,10,X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS (10X342),Bronx,D10,55,0-5,NA,0-5,NA,1,1,No,No,No
10X363,10,X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE (10X363),Bronx,D10,301,48,15.9,0-5,NA,0,1,No,No,No
10X368,10,X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368) (10X368),Bronx,D10,142,18,12.7,0-5,NA,0,1,No,No,No
10X390,10,X390,M.S. 390 (10X390),Bronx,D10,174,29,16.7,0-5,NA,0,1,No,No,No
10X391,10,X391,THE ANGELO PATRI MIDDLE SCHOOL (10X391),Bronx,D10,154,20,13,0-5,NA,0,1,No,No,No
