DBN,Dist,loc_code,MS,Borough,CSD,total_students,testers_count,perc_tested,total_offers,perc_tested_offered,fof_testers,fof_offers,G_T,HS_Program,Citywide,address,city,state,zip
09X593,9,X593,SOUTH BRONX INTERNATIONAL MIDDLE SCHOOL (09X593),Bronx,D9,63,0-5,NA,0-5,NA,1,1,No,No,No,1000 Teller Avenue,Bronx,NY,10456
09X594,9,X594,M.S. 594 (09X594),Bronx,D9,88,8,9.1,0-5,NA,0,1,No,No,No,1000 Teller Avenue,Bronx,NY,10456
11X355,11,X355,BRONX ALLIANCE MIDDLE SCHOOL (11X355),Bronx,D11,80,9,11.2,0-5,NA,0,1,No,No,No,3750 Baychester Avenue,Bronx,NY,10466
11X556,11,X556,BRONX PARK MIDDLE SCHOOL (11X556),Bronx,D11,141,23,16.3,0-5,NA,0,1,No,No,No,2441 Wallace Avenue,Bronx,NY,10467
11X566,11,X566,PELHAM GARDENS MIDDLE SCHOOL (11X566),Bronx,D11,148,21,14.2,0-5,NA,0,1,No,No,No,2545 Gunther Avenue,Bronx,NY,10469
13K351,13,K351,THE URBAN ASSEMBLY UNISON SCHOOL (13K351),Brooklyn,D13,51,10,19.6,0-5,NA,0,1,No,No,No,170 Gates Avenue,Brooklyn,NY,11238
13K915,13,K915,I.S. 915 (13K915),Brooklyn,D13,80,30,37.5,8,26.7,0,0,No,No,No,105 Tech Place,Brooklyn,NY,11201
15K839,15,K839,M.S. 839 (15K839),Brooklyn,D15,109,25,22.9,6,24,0,0,No,No,No,713 Caton Avenue,Brooklyn,NY,11218
16K681,16,K681,MADIBA PREP MIDDLE SCHOOL (16K681),Brooklyn,D16,68,23,33.8,0-5,NA,0,1,No,No,No,1014 Lafayette Avenue,Brooklyn,NY,11221
16K898,16,K898,THE BROOKLYN GREEN SCHOOL (16K898),Brooklyn,D16,41,14,34.1,0-5,NA,0,1,No,No,No,130 Rochester Avenue,Brooklyn,NY,11213
17K722,17,K722,NEW HEIGHTS MIDDLE SCHOOL (17K722),Brooklyn,D17,94,12,12.8,0-5,NA,0,1,No,No,No,790 East New York Avenue,Brooklyn,NY,11203
18K763,18,K763,BROOKLYN SCIENCE AND ENGINEERING ACADEMY (18K763),Brooklyn,D18,115,31,27,0-5,NA,0,1,No,No,No,5404 Tilden Avenue,Brooklyn,NY,11203
19K422,19,K422,SPRING CREEK COMMUNITY SCHOOL (19K422),Brooklyn,D19,67,0-5,NA,0-5,NA,1,1,No,No,No,1065 Elton Street,Brooklyn,NY,11208
19K654,19,K654,VAN SICLEN COMMUNITY MIDDLE SCHOOL (19K654),Brooklyn,D19,105,0-5,NA,0-5,NA,1,1,No,No,No,800 Van Siclen Ave,Brooklyn,NY,11207
19K661,19,K661,VISTA ACADEMY (19K661),Brooklyn,D19,153,21,13.7,0-5,NA,0,1,No,No,No,350 Linwood Street,Brooklyn,NY,11208
19K662,19,K662,LIBERTY AVENUE MIDDLE SCHOOL (19K662),Brooklyn,D19,162,22,13.6,0-5,NA,0,1,No,No,No,350 Linwood Street,Brooklyn,NY,11208
19K663,19,K663,SCHOOL OF THE FUTURE BROOKLYN (19K663),Brooklyn,D19,54,0-5,NA,0-5,NA,1,1,No,No,No,574 Dumont Avenue,Brooklyn,NY,11207
19K760,19,K760,HIGHLAND PARK COMMUNITY SCHOOL (19K760),Brooklyn,D19,102,20,19.6,0-5,NA,0,1,No,No,No,528 Ridgewood Avenue,Brooklyn,NY,11208
19K907,19,K907,LEGACY SCHOOL OF THE ARTS (19K907),Brooklyn,D19,43,6,14,0-5,NA,0,1,No,No,No,590 Sheffield Avenue,Brooklyn,NY,11207
22K890,22,K890,M.S. 890 (22K890),Brooklyn,D22,95,32,33.7,0-5,NA,0,1,No,No,No,21 Hinckley Place,Brooklyn,NY,11218
23K363,23,K363,BROWNSVILLE COLLABORATIVE MIDDLE SCHOOL (23K363),Brooklyn,D23,93,8,8.6,0-5,NA,0,1,No,No,No,85 Watkins Street,Brooklyn,NY,11212
23K664,23,K664,BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL (BEES) (23K664),Brooklyn,D23,56,0-5,NA,0-5,NA,1,1,No,No,No,251 Mac Dougal Street,Brooklyn,NY,11233
23K668,23,K668,RIVERDALE AVENUE MIDDLE SCHOOL (23K668),Brooklyn,D23,42,8,19,0-5,NA,0,1,No,No,No,76 Riverdale Avenue,Brooklyn,NY,11212
24Q311,24,Q311,CORONA ARTS & SCIENCES ACADEMY (24Q311),Queens,D24,183,12,6.6,0-5,NA,0,1,No,No,No,98-11 44Th Avenue,Queens,NY,11368
25Q379,25,Q379,COLLEGE POINT COLLABORATIVE (25Q379),Queens,D25,151,40,26.5,0-5,NA,0,1,No,No,No,12406 14Th Avenue,Queens,NY,11356
27Q297,27,Q297,HAWTREE CREEK MIDDLE SCHOOL (27Q297),Queens,D27,126,26,20.6,0-5,NA,0,1,No,No,No,121-10 Rockaway Boulevard,Queens,NY,11420
28Q287,28,Q287,THE EMERSON SCHOOL (28Q287),Queens,D28,116,25,21.6,0-5,NA,0,1,No,No,No,108-35 167 Street,Queens,NY,11433
28Q332,28,Q332,REDWOOD MIDDLE SCHOOL (28Q332),Queens,D28,100,25,25,0-5,NA,0,1,No,No,No,133-25 Guy R Brewer Boulevard,Queens,NY,11434
28Q358,28,Q358,M.S. 358 (28Q358),Queens,D28,125,42,33.6,0-5,NA,0,1,No,No,No,88-08 164Th Street,Queens,NY,11432
29Q289,29,Q289,QUEENS UNITED MIDDLE SCHOOL (29Q289),Queens,D29,54,13,24.1,0-5,NA,0,1,No,No,No,229-02 137 Avenue,Queens,NY,11413
30Q291,30,Q291,HUNTERS POINT COMMUNITY MIDDLE SCHOOL (30Q291),Queens,D30,146,100,68.5,6,6,0,0,No,No,No,1-50 51St Avenue,Queens,NY,11101
30Q300,30,Q300,THE 30TH AVENUE SCHOOL (G&T CITYWIDE) (30Q300),Queens,D30,46,42,91.3,24,57.1,0,0,Yes,No,Yes,28-37 29 Street,Queens,NY,11102
31R028,31,R028,THE EAGLE ACADEMY FOR YOUNG MEN OF STATEN ISLAND (31R028),StatenIsland,D31,69,8,11.6,0-5,NA,0,1,No,No,No,101 Warren Street,Staten Island,NY,10304
32K562,32,K562,EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION (32K562),Brooklyn,D32,120,20,16.7,0-5,NA,0,1,No,No,No,125 Covert Street,Brooklyn,NY,11207
