ATS_CODE,BORO,BORONUM,LOC_CODE,ADDRESS,STATE_CODE,ZIP,City,DBN,Dist,MS,Borough,CSD,Total Stud,Students T,Percent of,Total St_1,Percent _1,Fewer than,Fewer th_1,Gifted and,HS Program,Citywide,result_num,status,formatted_,place_id,location_t,latlong
09X327      ,X,2,X327,580 CROTONA PARK SOUTH,NY,"10456",BRONX,09X327,"9",COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327 (09X327),Bronx,D9,"98","9","9.2",0-5,NA,"0","1",No,No,No,,,,,,
09X328      ,X,2,X328,1000 TELLER AVENUE,NY,"10456",BRONX,09X328,"9",NEW MILLENNIUM BRONX ACADEMY OF THE ARTS (09X328),Bronx,D9,"108","14","13",0-5,NA,"0","1",No,No,No,,,,,,
14K404      ,K,2,K404,183 SOUTH  3 STREET,NY,"11211",BROOKLYN,19K404,"19",ACADEMY FOR YOUNG WRITERS (19K404),Brooklyn,D19,"67",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
11X326      ,X,2,X326,2441 WALLACE AVENUE,NY,"10467",BRONX,11X326,"11",BRONX GREEN MIDDLE SCHOOL (11X326),Bronx,D11,"144","16","11.1",0-5,NA,"0","1",No,No,No,,,,,,
09X303      ,X,2,X303,1700 MACOMBS ROAD,NY,"10453",BRONX,09X303,"9",I.S. X303 LEADERSHIP & COMMUNITY SERVICE (09X303),Bronx,D9,"107","9","8.4",0-5,NA,"0","1",No,No,No,,,,,,
15K442      ,K,2,K442,317 HOYT STREET,NY,"11231",BROOKLYN,15K442,"15",M.S. 442 CARROLL GARDENS SCHOOL FOR INNOVATION (15K442),Brooklyn,D15,"130","49","37.7","17","34.7","0","0",No,No,No,,,,,,
08X301      ,X,2,X301,890 CAULDWELL AVENUE,NY,"10456",BRONX,08X301,"8",M.S. 301 PAUL L. DUNBAR (08X301),Bronx,D8,"59","23","39",0-5,NA,"0","1",No,No,No,,,,,,
08X302      ,X,2,X302,681 KELLY STREET,NY,"10455",BRONX,08X302,"8",M.S. 302 LUISA DESSUS CRUZ (08X302),Bronx,D8,"147","17","11.6",0-5,NA,"0","1",No,No,No,,,,,,
07X298      ,X,2,X298,778 FOREST AVENUE,NY,"10456",BRONX,07X298,"7",ACADEMY OF PUBLIC RELATIONS (07X298),Bronx,D7,"79","27","34.2",0-5,NA,"0","1",No,No,No,,,,,,
22K381      ,K,2,K381,1599 EAST  22 STREET,NY,"11210",BROOKLYN,22K381,"22",I. S. 381 (22K381),Brooklyn,D22,"100","34","34",0-5,NA,"0","1",No,No,No,,,,,,
